name,description,formula
1. Present Value Formula,"The Present Value Formula is used to calculate the current value of a future sum of money or stream of cash flows given a specified rate of return. The formula is as follows:

Present Value = Future Value / (1 + r)^n

Where r is the rate of return and n is the number of periods.","The Present Value Formula is used to calculate the current value of a future sum of money or stream of cash flows given a specified rate of return. The formula is as follows:

Present Value = Future Value / (1 + r)^n

Where r is the rate of return and n is the number of periods."
2. Future Value Formula,"The Future Value Formula is used to calculate the value of an investment at a future date. It takes into account the initial investment, the interest rate, and the number of periods the investment will be held. The formula is as follows:

Future Value = Initial Investment x (1 + Interest Rate)^Number of Periods","The Future Value Formula is used to calculate the value of an investment at a future date. It takes into account the initial investment, the interest rate, and the number of periods the investment will be held. The formula is as follows:

Future Value = Initial Investment x (1 + Interest Rate)^Number of Periods"
3. Time Value of Money Formula,"The Time Value of Money Formula is used to calculate the present value of a future sum of money. It takes into account the effect of inflation and the time value of money. The formula is as follows:

Present Value = Future Value / (1 + r)^n

Where r is the interest rate and n is the number of periods.","The Time Value of Money Formula is used to calculate the present value of a future sum of money. It takes into account the effect of inflation and the time value of money. The formula is as follows:

Present Value = Future Value / (1 + r)^n

Where r is the interest rate and n is the number of periods."
4. Net Present Value Formula,"Net Present Value (NPV) is a financial formula used to calculate the present value of a series of future cash flows. It is used to determine the profitability of a project or investment. The formula for NPV is:

NPV = CF1/(1+r)^1 + CF2/(1+r)^2 + CF3/(1+r)^3 + ... + CFn/(1+r)^n

Where CF1, CF2, CF3, etc. are the cash flows at each period, and r is the discount rate.","Net Present Value (NPV) is a financial formula used to calculate the present value of a series of future cash flows. It is used to determine the profitability of a project or investment. The formula for NPV is:

NPV = CF1/(1+r)^1 + CF2/(1+r)^2 + CF3/(1+r)^3 + ... + CFn/(1+r)^n

Where CF1, CF2, CF3, etc. are the cash flows at each period, and r is the discount rate."
5. Internal Rate of Return Formula,"The Internal Rate of Return (IRR) is a financial metric used to measure the profitability of an investment. It is the rate of return that makes the net present value (NPV) of all cash flows from a project or investment equal to zero. The formula for calculating the Internal Rate of Return is:

IRR = (NPV0 + NPV1 + ... + NPVn) / (C0 + C1 + ... + Cn)

Where:

NPV0 = Initial Investment
NPV1 = Cash Flow at Time 1
NPVn = Cash Flow at Time n
C0 = Initial Investment
C1 = Cash Flow at Time 1
Cn = Cash Flow at Time n","The Internal Rate of Return (IRR) is a financial metric used to measure the profitability of an investment. It is the rate of return that makes the net present value (NPV) of all cash flows from a project or investment equal to zero. The formula for calculating the Internal Rate of Return is:

IRR = (NPV0 + NPV1 + ... + NPVn) / (C0 + C1 + ... + Cn)

Where:

NPV0 = Initial Investment
NPV1 = Cash Flow at Time 1
NPVn = Cash Flow at Time n
C0 = Initial Investment
C1 = Cash Flow at Time 1
Cn = Cash Flow at Time n"
6. Payback Period Formula,"The Payback Period Formula is used to calculate the amount of time it takes for an investment to be recouped. It is calculated by dividing the initial investment by the annual cash flow. The result is the number of years it will take to break even on the investment.

Formula: Payback Period = Initial Investment / Annual Cash Flow","The Payback Period Formula is used to calculate the amount of time it takes for an investment to be recouped. It is calculated by dividing the initial investment by the annual cash flow. The result is the number of years it will take to break even on the investment.

Formula: Payback Period = Initial Investment / Annual Cash Flow"
7. Discounted Cash Flow Formula,"The Discounted Cash Flow (DCF) formula is a financial valuation method used to estimate the value of a business or project. It is based on the concept of the time value of money, which states that money available today is worth more than the same amount of money in the future. The DCF formula takes into account the present value of future cash flows, discounted at a rate that reflects the risk of the investment. The formula is as follows:

DCF = CF1/(1+r)^1 + CF2/(1+r)^2 + CF3/(1+r)^3 + ... + CFn/(1+r)^n

Where CF1, CF2, CF3, etc. are the cash flows for each period, and r is the discount rate.","The Discounted Cash Flow (DCF) formula is a financial valuation method used to estimate the value of a business or project. It is based on the concept of the time value of money, which states that money available today is worth more than the same amount of money in the future. The DCF formula takes into account the present value of future cash flows, discounted at a rate that reflects the risk of the investment. The formula is as follows:

DCF = CF1/(1+r)^1 + CF2/(1+r)^2 + CF3/(1+r)^3 + ... + CFn/(1+r)^n

Where CF1, CF2, CF3, etc. are the cash flows for each period, and r is the discount rate."
8. Capital Asset Pricing Model (CAPM),"The Capital Asset Pricing Model (CAPM) is a financial model used to determine the expected return of an asset based on its risk. It is used to calculate the expected return of a security given its risk level. The formula for CAPM is:

Expected Return = Risk-Free Rate + Beta (Market Return - Risk-Free Rate)

Where the Risk-Free Rate is the return of a risk-free asset, Beta is the measure of the volatility of the security relative to the market, and the Market Return is the expected return of the market.","The Capital Asset Pricing Model (CAPM) is a financial model used to determine the expected return of an asset based on its risk. It is used to calculate the expected return of a security given its risk level. The formula for CAPM is:

Expected Return = Risk-Free Rate + Beta (Market Return - Risk-Free Rate)

Where the Risk-Free Rate is the return of a risk-free asset, Beta is the measure of the volatility of the security relative to the market, and the Market Return is the expected return of the market."
9. Weighted Average Cost of Capital (WACC),"Weighted Average Cost of Capital (WACC) is a measure of a company's cost of capital in which each category of capital is proportionately weighted. It is calculated by taking the weighted average of the cost of each source of capital, where the weights are the proportions of each source of capital in the company's capital structure.

Formula: WACC = (E/V) x Re + (D/V) x Rd x (1-T)","Weighted Average Cost of Capital (WACC) is a measure of a company's cost of capital in which each category of capital is proportionately weighted. It is calculated by taking the weighted average of the cost of each source of capital, where the weights are the proportions of each source of capital in the company's capital structure.

Formula: WACC = (E/V) x Re + (D/V) x Rd x (1-T)"
10. Gordon Growth Model,"The Gordon Growth Model is a formula used to calculate the intrinsic value of a stock. It is based on the idea that a stock's value is determined by the present value of its future dividends. The formula is as follows:

V = D1 / (r - g)

Where:

V = Intrinsic Value of the Stock
D1 = Dividend at the end of the first period
r = Required rate of return
g = Growth rate of dividends","The Gordon Growth Model is a formula used to calculate the intrinsic value of a stock. It is based on the idea that a stock's value is determined by the present value of its future dividends. The formula is as follows:

V = D1 / (r - g)

Where:

V = Intrinsic Value of the Stock
D1 = Dividend at the end of the first period
r = Required rate of return
g = Growth rate of dividends"
11. Black-Scholes Model,"The Black-Scholes Model is a mathematical model used to calculate the theoretical value of a European-style call or put option. It is based on the assumption that the price of the underlying asset follows a geometric Brownian motion with constant drift and volatility. The model was developed by Fischer Black and Myron Scholes in 1973 and is used to price options on stocks, currencies, commodities, and other financial instruments. The formula for the Black-Scholes Model is as follows:

Call Option Price = S * N(d1) - X * e^(-rT) * N(d2)

Put Option Price = X * e^(-rT) * N(-d2) - S * N(-d1)

Where:

S = Current stock price

X = Strike price

r = Risk-free rate

T = Time to expiration

N(d1) = Cumulative normal distribution of d1

N(d2) = Cumulative normal distribution of d2

d1 = (ln(S/X) + (r + σ^2/2)T","The Black-Scholes Model is a mathematical model used to calculate the theoretical value of a European-style call or put option. It is based on the assumption that the price of the underlying asset follows a geometric Brownian motion with constant drift and volatility. The model was developed by Fischer Black and Myron Scholes in 1973 and is used to price options on stocks, currencies, commodities, and other financial instruments. The formula for the Black-Scholes Model is as follows:

Call Option Price = S * N(d1) - X * e^(-rT) * N(d2)

Put Option Price = X * e^(-rT) * N(-d2) - S * N(-d1)

Where:

S = Current stock price

X = Strike price

r = Risk-free rate

T = Time to expiration

N(d1) = Cumulative normal distribution of d1

N(d2) = Cumulative normal distribution of d2

d1 = (ln(S/X) + (r + σ^2/2)T"
12. Binomial Option Pricing Model,"The Binomial Option Pricing Model is a mathematical model used to calculate the fair value of an option. It is based on the idea that the underlying asset's price can move in two directions, up or down, over a given period of time. The model takes into account the current price of the underlying asset, the strike price of the option, the time to expiration, the risk-free rate, the volatility of the underlying asset, and the dividend yield. The formula for the Binomial Option Pricing Model is:

Option Price = S0 * N(d1) - X * e-rt * N(d2)

Where:

S0 = Current price of the underlying asset
X = Strike price of the option
t = Time to expiration
r = Risk-free rate
N(d1) = Cumulative normal distribution of d1
N(d2) = Cumulative normal distribution of d2
d1 = (ln(S0/X) + (r + σ2/2)t) / (σ * sqrt(t))
d2 = d1 - σ * sqrt(","The Binomial Option Pricing Model is a mathematical model used to calculate the fair value of an option. It is based on the idea that the underlying asset's price can move in two directions, up or down, over a given period of time. The model takes into account the current price of the underlying asset, the strike price of the option, the time to expiration, the risk-free rate, the volatility of the underlying asset, and the dividend yield. The formula for the Binomial Option Pricing Model is:

Option Price = S0 * N(d1) - X * e-rt * N(d2)

Where:

S0 = Current price of the underlying asset
X = Strike price of the option
t = Time to expiration
r = Risk-free rate
N(d1) = Cumulative normal distribution of d1
N(d2) = Cumulative normal distribution of d2
d1 = (ln(S0/X) + (r + σ2/2)t) / (σ * sqrt(t))
d2 = d1 - σ * sqrt("
13. Arbitrage Pricing Theory,"Arbitrage Pricing Theory (APT) is an economic theory that states that the expected return of an asset is determined by the sum of its individual risk factors, each multiplied by its own risk premium. The formula for APT is:

Expected Return = Risk-Free Rate + β1 (Market Risk Premium) + β2 (Industry Risk Premium) + β3 (Size Risk Premium) + ... + βn (nth Risk Premium)","Arbitrage Pricing Theory (APT) is an economic theory that states that the expected return of an asset is determined by the sum of its individual risk factors, each multiplied by its own risk premium. The formula for APT is:

Expected Return = Risk-Free Rate + β1 (Market Risk Premium) + β2 (Industry Risk Premium) + β3 (Size Risk Premium) + ... + βn (nth Risk Premium)"
14. Sharpe Ratio,"The Sharpe Ratio is a measure of risk-adjusted return that is used to evaluate the performance of an investment. It is calculated by subtracting the risk-free rate from the rate of return of an investment and then dividing the result by the standard deviation of the investment's returns. The formula for the Sharpe Ratio is:

Sharpe Ratio = (Return of Investment - Risk-Free Rate) / Standard Deviation of Investment Returns","The Sharpe Ratio is a measure of risk-adjusted return that is used to evaluate the performance of an investment. It is calculated by subtracting the risk-free rate from the rate of return of an investment and then dividing the result by the standard deviation of the investment's returns. The formula for the Sharpe Ratio is:

Sharpe Ratio = (Return of Investment - Risk-Free Rate) / Standard Deviation of Investment Returns"
15. Treynor Ratio,"The Treynor Ratio is a measure of portfolio performance that takes into account the risk of the portfolio relative to the market. It is calculated by dividing the portfolio's excess return over the risk-free rate by the portfolio's beta.

Formula: Treynor Ratio = (Portfolio Return - Risk-Free Rate) / Portfolio Beta","The Treynor Ratio is a measure of portfolio performance that takes into account the risk of the portfolio relative to the market. It is calculated by dividing the portfolio's excess return over the risk-free rate by the portfolio's beta.

Formula: Treynor Ratio = (Portfolio Return - Risk-Free Rate) / Portfolio Beta"
16. Alpha and Beta,"Alpha and Beta are two measures of risk-adjusted performance. Alpha measures the performance of an investment relative to a benchmark index, while Beta measures the volatility of an investment relative to the market. Alpha is calculated by subtracting the expected return of the benchmark index from the actual return of the investment. Beta is calculated by dividing the covariance of the investment's returns with the market's returns by the variance of the market's returns.","Alpha and Beta are two measures of risk-adjusted performance. Alpha measures the performance of an investment relative to a benchmark index, while Beta measures the volatility of an investment relative to the market. Alpha is calculated by subtracting the expected return of the benchmark index from the actual return of the investment. Beta is calculated by dividing the covariance of the investment's returns with the market's returns by the variance of the market's returns."
17. Debt-to-Equity Ratio,"The Debt-to-Equity Ratio is a financial ratio that measures a company's leverage, calculated by dividing its total liabilities by its total shareholders' equity. It is a measure of a company's financial health and is used to assess the risk of investing in a company. The formula for the Debt-to-Equity Ratio is Total Liabilities / Total Shareholders' Equity.","The Debt-to-Equity Ratio is a financial ratio that measures a company's leverage, calculated by dividing its total liabilities by its total shareholders' equity. It is a measure of a company's financial health and is used to assess the risk of investing in a company. The formula for the Debt-to-Equity Ratio is Total Liabilities / Total Shareholders' Equity."
18. Return on Equity (ROE),"Return on Equity (ROE) is a financial ratio that measures the profitability of a company in relation to the equity of its shareholders. It is calculated by dividing the company's net income by its total equity. The formula for ROE is:

ROE = Net Income / Total Equity","Return on Equity (ROE) is a financial ratio that measures the profitability of a company in relation to the equity of its shareholders. It is calculated by dividing the company's net income by its total equity. The formula for ROE is:

ROE = Net Income / Total Equity"
19. Return on Investment (ROI),"Return on Investment (ROI) is a measure of the profitability of an investment. It is calculated by dividing the net gain from an investment by the cost of the investment. The formula for ROI is:

ROI = (Gain from Investment - Cost of Investment) / Cost of Investment","Return on Investment (ROI) is a measure of the profitability of an investment. It is calculated by dividing the net gain from an investment by the cost of the investment. The formula for ROI is:

ROI = (Gain from Investment - Cost of Investment) / Cost of Investment"
20. Price-to-Earnings Ratio (P/E Ratio),"The Price-to-Earnings Ratio (P/E Ratio) is a financial ratio used to measure the relative value of a company's stock price compared to its earnings per share. It is calculated by dividing the current stock price of a company by its earnings per share (EPS).

Formula: P/E Ratio = Current Stock Price / Earnings Per Share (EPS)","The Price-to-Earnings Ratio (P/E Ratio) is a financial ratio used to measure the relative value of a company's stock price compared to its earnings per share. It is calculated by dividing the current stock price of a company by its earnings per share (EPS).

Formula: P/E Ratio = Current Stock Price / Earnings Per Share (EPS)"
1. Cost-Benefit Analysis,"Cost-Benefit Analysis is a method of evaluating the potential costs and benefits of a project or decision. It is used to determine whether the proposed project or decision is worth the investment of time, money, and resources. The formula for Cost-Benefit Analysis is:

Benefits - Costs = Net Benefit","Cost-Benefit Analysis is a method of evaluating the potential costs and benefits of a project or decision. It is used to determine whether the proposed project or decision is worth the investment of time, money, and resources. The formula for Cost-Benefit Analysis is:

Benefits - Costs = Net Benefit"
2. Break-Even Analysis,Break-Even Analysis is a financial tool used to determine the point at which a business's total revenue is equal to its total costs. This point is known as the break-even point. The formula for Break-Even Analysis is: Break-Even Point = Fixed Costs / (Price - Variable Costs).,Break-Even Analysis is a financial tool used to determine the point at which a business's total revenue is equal to its total costs. This point is known as the break-even point. The formula for Break-Even Analysis is: Break-Even Point = Fixed Costs / (Price - Variable Costs).
3. Return on Investment (ROI),"Return on Investment (ROI) is a measure of the profitability of an investment. It is calculated by dividing the net gain from an investment by the cost of the investment. The formula for ROI is:

ROI = (Gain from Investment - Cost of Investment) / Cost of Investment","Return on Investment (ROI) is a measure of the profitability of an investment. It is calculated by dividing the net gain from an investment by the cost of the investment. The formula for ROI is:

ROI = (Gain from Investment - Cost of Investment) / Cost of Investment"
4. Cash Flow Analysis,"Cash Flow Analysis is a financial statement that tracks the amount of money coming in and out of a business. It is used to measure the financial health of a business and to identify potential areas of improvement. The formula for Cash Flow Analysis is:

Net Cash Flow = Cash Inflows – Cash Outflows","Cash Flow Analysis is a financial statement that tracks the amount of money coming in and out of a business. It is used to measure the financial health of a business and to identify potential areas of improvement. The formula for Cash Flow Analysis is:

Net Cash Flow = Cash Inflows – Cash Outflows"
5. SWOT Analysis,"SWOT Analysis is a strategic planning tool used to evaluate the Strengths, Weaknesses, Opportunities, and Threats of an organization or project. It is used to identify internal and external factors that can affect the success of a project or organization. Strengths refer to the internal factors that can be used to the organization's advantage, such as resources, skills, and capabilities. Weaknesses refer to the internal factors that can be used to the organization's disadvantage, such as lack of resources, skills, and capabilities. Opportunities refer to the external factors that can be used to the organization's advantage, such as market trends, customer needs, and technological advances. Threats refer to the external factors that can be used to the organization's disadvantage, such as competition, regulations, and economic conditions.

Formula: SWOT Analysis = Strengths + Weaknesses + Opportunities + Threats","SWOT Analysis is a strategic planning tool used to evaluate the Strengths, Weaknesses, Opportunities, and Threats of an organization or project. It is used to identify internal and external factors that can affect the success of a project or organization. Strengths refer to the internal factors that can be used to the organization's advantage, such as resources, skills, and capabilities. Weaknesses refer to the internal factors that can be used to the organization's disadvantage, such as lack of resources, skills, and capabilities. Opportunities refer to the external factors that can be used to the organization's advantage, such as market trends, customer needs, and technological advances. Threats refer to the external factors that can be used to the organization's disadvantage, such as competition, regulations, and economic conditions.

Formula: SWOT Analysis = Strengths + Weaknesses + Opportunities + Threats"
6. Porter’s Five Forces Model,"Porter's Five Forces Model is a framework used to analyze the competitive environment of a business. It is a tool used to identify and analyze the five competitive forces that shape the competitive landscape of an industry. The five forces are: (1) Threat of New Entrants, (2) Bargaining Power of Suppliers, (3) Bargaining Power of Buyers, (4) Threat of Substitute Products, and (5) Intensity of Rivalry. The model is used to assess the attractiveness of an industry by analyzing the competitive forces that affect the profitability of the industry. The formula for Porter's Five Forces Model is:

Porter's Five Forces Model = (Threat of New Entrants + Bargaining Power of Suppliers + Bargaining Power of Buyers + Threat of Substitute Products + Intensity of Rivalry) / 5","Porter's Five Forces Model is a framework used to analyze the competitive environment of a business. It is a tool used to identify and analyze the five competitive forces that shape the competitive landscape of an industry. The five forces are: (1) Threat of New Entrants, (2) Bargaining Power of Suppliers, (3) Bargaining Power of Buyers, (4) Threat of Substitute Products, and (5) Intensity of Rivalry. The model is used to assess the attractiveness of an industry by analyzing the competitive forces that affect the profitability of the industry. The formula for Porter's Five Forces Model is:

Porter's Five Forces Model = (Threat of New Entrants + Bargaining Power of Suppliers + Bargaining Power of Buyers + Threat of Substitute Products + Intensity of Rivalry) / 5"
7. Market Segmentation,"Market segmentation is the process of dividing a market into distinct groups of customers who have similar needs, wants, and behaviors. It is a way of dividing a large, heterogeneous market into smaller, more homogeneous segments of customers. The goal of market segmentation is to identify and target specific customer groups that are likely to respond favorably to a company's products or services. The formula for market segmentation is:

Market Segmentation = (Target Market) ÷ (Market Characteristics)","Market segmentation is the process of dividing a market into distinct groups of customers who have similar needs, wants, and behaviors. It is a way of dividing a large, heterogeneous market into smaller, more homogeneous segments of customers. The goal of market segmentation is to identify and target specific customer groups that are likely to respond favorably to a company's products or services. The formula for market segmentation is:

Market Segmentation = (Target Market) ÷ (Market Characteristics)"
8. Product Life Cycle,"Product Life Cycle is a concept used to describe the stages a product goes through from its introduction to the market to its eventual decline. The four stages of the Product Life Cycle are Introduction, Growth, Maturity, and Decline. 

Formula: 

Stage 1: Introduction 
Stage 2: Growth 
Stage 3: Maturity 
Stage 4: Decline","Product Life Cycle is a concept used to describe the stages a product goes through from its introduction to the market to its eventual decline. The four stages of the Product Life Cycle are Introduction, Growth, Maturity, and Decline. 

Formula: 

Stage 1: Introduction 
Stage 2: Growth 
Stage 3: Maturity 
Stage 4: Decline"
9. Lean Startup Methodology,"The Lean Startup Methodology is a business strategy that focuses on rapid experimentation and iteration to quickly develop and launch products. It is based on the idea that businesses should focus on creating a minimum viable product (MVP) and then use customer feedback to improve the product. The Lean Startup Methodology is based on the following formula:

MVP + Customer Feedback = Iterative Product Development","The Lean Startup Methodology is a business strategy that focuses on rapid experimentation and iteration to quickly develop and launch products. It is based on the idea that businesses should focus on creating a minimum viable product (MVP) and then use customer feedback to improve the product. The Lean Startup Methodology is based on the following formula:

MVP + Customer Feedback = Iterative Product Development"
10. Business Model Canvas,"Business Model Canvas is a strategic management and lean startup template for developing new or documenting existing business models. It is a visual chart with elements describing a firm's or product's value proposition, infrastructure, customers, and finances. It assists firms in aligning their activities by illustrating potential trade-offs.

Formula:

Value Proposition + Infrastructure + Customers + Finances = Business Model Canvas","Business Model Canvas is a strategic management and lean startup template for developing new or documenting existing business models. It is a visual chart with elements describing a firm's or product's value proposition, infrastructure, customers, and finances. It assists firms in aligning their activities by illustrating potential trade-offs.

Formula:

Value Proposition + Infrastructure + Customers + Finances = Business Model Canvas"
1. Cost Per Acquisition (CPA),"Cost Per Acquisition (CPA) is a metric used to measure the cost of acquiring a customer or converting a lead into a sale. It is calculated by dividing the total cost of acquiring a customer by the total number of customers acquired.

Formula: CPA = Total Cost of Acquiring a Customer / Total Number of Customers Acquired","Cost Per Acquisition (CPA) is a metric used to measure the cost of acquiring a customer or converting a lead into a sale. It is calculated by dividing the total cost of acquiring a customer by the total number of customers acquired.

Formula: CPA = Total Cost of Acquiring a Customer / Total Number of Customers Acquired"
2. Return on Investment (ROI),"Return on Investment (ROI) is a measure of the profitability of an investment. It is calculated by dividing the net gain from an investment by the cost of the investment. The formula for ROI is:

ROI = (Gain from Investment - Cost of Investment) / Cost of Investment","Return on Investment (ROI) is a measure of the profitability of an investment. It is calculated by dividing the net gain from an investment by the cost of the investment. The formula for ROI is:

ROI = (Gain from Investment - Cost of Investment) / Cost of Investment"
3. Customer Lifetime Value (CLV),"Customer Lifetime Value (CLV) is a metric used to measure the total value of a customer to a business over the course of their relationship. It is calculated by multiplying the average purchase value by the average number of purchases per customer per year, and then multiplying that number by the average customer lifespan.

Formula: CLV = Average Purchase Value x Average Number of Purchases per Customer per Year x Average Customer Lifespan","Customer Lifetime Value (CLV) is a metric used to measure the total value of a customer to a business over the course of their relationship. It is calculated by multiplying the average purchase value by the average number of purchases per customer per year, and then multiplying that number by the average customer lifespan.

Formula: CLV = Average Purchase Value x Average Number of Purchases per Customer per Year x Average Customer Lifespan"
4. Cost Per Click (CPC),"Cost Per Click (CPC) is a pricing model used in online advertising, where the advertiser pays a certain amount each time a user clicks on their ad. The formula for CPC is: CPC = Total Cost of Advertising / Number of Clicks.","Cost Per Click (CPC) is a pricing model used in online advertising, where the advertiser pays a certain amount each time a user clicks on their ad. The formula for CPC is: CPC = Total Cost of Advertising / Number of Clicks."
5. Cost Per Thousand Impressions (CPM),"Cost Per Thousand Impressions (CPM) is a pricing model used in online advertising that measures the cost of an ad campaign based on the number of impressions (views) it receives. CPM is calculated by dividing the total cost of the ad campaign by the total number of impressions, then multiplying by 1000.

Formula: CPM = (Total Cost of Ad Campaign / Total Number of Impressions) x 1000","Cost Per Thousand Impressions (CPM) is a pricing model used in online advertising that measures the cost of an ad campaign based on the number of impressions (views) it receives. CPM is calculated by dividing the total cost of the ad campaign by the total number of impressions, then multiplying by 1000.

Formula: CPM = (Total Cost of Ad Campaign / Total Number of Impressions) x 1000"
6. Click-Through Rate (CTR),"Click-Through Rate (CTR) is a metric used to measure the success of an online advertising campaign. It is calculated by dividing the number of clicks on an ad by the number of times the ad is shown (impressions). CTR is expressed as a percentage and is calculated using the following formula:

CTR = (Number of Clicks / Number of Impressions) x 100","Click-Through Rate (CTR) is a metric used to measure the success of an online advertising campaign. It is calculated by dividing the number of clicks on an ad by the number of times the ad is shown (impressions). CTR is expressed as a percentage and is calculated using the following formula:

CTR = (Number of Clicks / Number of Impressions) x 100"
7. Conversion Rate (CR),"Conversion Rate (CR) is a metric used to measure the percentage of visitors to a website who take a desired action. It is calculated by dividing the number of conversions (the desired action taken) by the total number of visitors and multiplying by 100.

Formula: CR = (Number of Conversions / Total Number of Visitors) x 100","Conversion Rate (CR) is a metric used to measure the percentage of visitors to a website who take a desired action. It is calculated by dividing the number of conversions (the desired action taken) by the total number of visitors and multiplying by 100.

Formula: CR = (Number of Conversions / Total Number of Visitors) x 100"
8. Average Order Value (AOV),"Average Order Value (AOV) is a metric used to measure the average amount of money spent per order. It is calculated by dividing the total revenue generated by the total number of orders.

Formula: AOV = Total Revenue / Total Number of Orders","Average Order Value (AOV) is a metric used to measure the average amount of money spent per order. It is calculated by dividing the total revenue generated by the total number of orders.

Formula: AOV = Total Revenue / Total Number of Orders"
9. Gross Margin Return on Investment (GMROI),"Gross Margin Return on Investment (GMROI) is a financial metric used to measure the profitability of a company's investments. It is calculated by dividing the gross margin of a company's investments by the total amount invested. The formula for GMROI is:

GMROI = (Gross Margin / Total Investment) x 100","Gross Margin Return on Investment (GMROI) is a financial metric used to measure the profitability of a company's investments. It is calculated by dividing the gross margin of a company's investments by the total amount invested. The formula for GMROI is:

GMROI = (Gross Margin / Total Investment) x 100"
10. Reach and Frequency (R&F),"Reach and Frequency (R&F) is a measure of the number of people exposed to an advertisement or message and the number of times they are exposed to it. It is used to determine the effectiveness of an advertising campaign. The formula for Reach and Frequency is: Reach x Frequency = Total Impressions. Reach is the number of unique people exposed to the advertisement or message, while Frequency is the average number of times each person is exposed to the advertisement or message. Total Impressions is the total number of times the advertisement or message is seen.","Reach and Frequency (R&F) is a measure of the number of people exposed to an advertisement or message and the number of times they are exposed to it. It is used to determine the effectiveness of an advertising campaign. The formula for Reach and Frequency is: Reach x Frequency = Total Impressions. Reach is the number of unique people exposed to the advertisement or message, while Frequency is the average number of times each person is exposed to the advertisement or message. Total Impressions is the total number of times the advertisement or message is seen."
11. Share of Voice (SOV),Share of Voice (SOV) is a metric used to measure the relative presence of a brand in a given market. It is calculated by dividing the total number of mentions of a brand by the total number of mentions of all brands in the same market. SOV = (Brand Mentions / Total Market Mentions) x 100.,Share of Voice (SOV) is a metric used to measure the relative presence of a brand in a given market. It is calculated by dividing the total number of mentions of a brand by the total number of mentions of all brands in the same market. SOV = (Brand Mentions / Total Market Mentions) x 100.
12. Social Media Return on Investment (SMROI),Social Media Return on Investment (SMROI) is a metric used to measure the effectiveness of a company's social media marketing efforts. It is calculated by dividing the total revenue generated from social media activities by the total cost of those activities. The formula for SMROI is: SMROI = (Total Revenue from Social Media Activities / Total Cost of Social Media Activities) x 100.,Social Media Return on Investment (SMROI) is a metric used to measure the effectiveness of a company's social media marketing efforts. It is calculated by dividing the total revenue generated from social media activities by the total cost of those activities. The formula for SMROI is: SMROI = (Total Revenue from Social Media Activities / Total Cost of Social Media Activities) x 100.
13. Net Promoter Score (NPS),"Net Promoter Score (NPS) is a metric used to measure customer loyalty and satisfaction. It is calculated by subtracting the percentage of customers who are “detractors” from the percentage of customers who are “promoters”.

Formula: NPS = (% Promoters) - (% Detractors)","Net Promoter Score (NPS) is a metric used to measure customer loyalty and satisfaction. It is calculated by subtracting the percentage of customers who are “detractors” from the percentage of customers who are “promoters”.

Formula: NPS = (% Promoters) - (% Detractors)"
14. Brand Awareness Index (BAI),"The Brand Awareness Index (BAI) is a metric used to measure the level of recognition and familiarity of a brand among its target audience. It is calculated by dividing the number of people who are aware of the brand by the total number of people in the target audience.

Formula: BAI = (Number of people aware of the brand / Total number of people in the target audience) x 100","The Brand Awareness Index (BAI) is a metric used to measure the level of recognition and familiarity of a brand among its target audience. It is calculated by dividing the number of people who are aware of the brand by the total number of people in the target audience.

Formula: BAI = (Number of people aware of the brand / Total number of people in the target audience) x 100"
15. Customer Acquisition Cost (CAC),"Customer Acquisition Cost (CAC) is a metric used to measure the cost of acquiring new customers. It is calculated by dividing the total cost of acquiring new customers (such as marketing and sales expenses) by the total number of new customers acquired.

Formula: CAC = Total Cost of Acquiring New Customers / Total Number of New Customers Acquired","Customer Acquisition Cost (CAC) is a metric used to measure the cost of acquiring new customers. It is calculated by dividing the total cost of acquiring new customers (such as marketing and sales expenses) by the total number of new customers acquired.

Formula: CAC = Total Cost of Acquiring New Customers / Total Number of New Customers Acquired"
16. Customer Retention Rate (CRR),"Customer Retention Rate (CRR) is a metric used to measure the percentage of customers that remain loyal to a business over a given period of time. It is calculated by dividing the number of customers at the end of a period by the number of customers at the beginning of the period, and then multiplying the result by 100.

Formula: CRR = (Number of customers at the end of period / Number of customers at the beginning of period) x 100","Customer Retention Rate (CRR) is a metric used to measure the percentage of customers that remain loyal to a business over a given period of time. It is calculated by dividing the number of customers at the end of a period by the number of customers at the beginning of the period, and then multiplying the result by 100.

Formula: CRR = (Number of customers at the end of period / Number of customers at the beginning of period) x 100"
17. Engagement Rate (ER),"Engagement Rate (ER) is a metric used to measure the level of engagement of an audience with a particular piece of content. It is calculated by dividing the total number of engagements (likes, comments, shares, etc.) by the total number of impressions (views, clicks, etc.) and multiplying by 100.

Formula: ER = (Engagements / Impressions) x 100","Engagement Rate (ER) is a metric used to measure the level of engagement of an audience with a particular piece of content. It is calculated by dividing the total number of engagements (likes, comments, shares, etc.) by the total number of impressions (views, clicks, etc.) and multiplying by 100.

Formula: ER = (Engagements / Impressions) x 100"
18. Cost Per Action (CPA),"Cost Per Action (CPA) is a pricing model in which advertisers pay for each completed action taken by a user. The formula for CPA is CPA = Total Cost / Number of Actions. For example, if an advertiser spends $100 on an ad campaign and the campaign results in 10 completed actions, the CPA would be $10 ($100/10).","Cost Per Action (CPA) is a pricing model in which advertisers pay for each completed action taken by a user. The formula for CPA is CPA = Total Cost / Number of Actions. For example, if an advertiser spends $100 on an ad campaign and the campaign results in 10 completed actions, the CPA would be $10 ($100/10)."
